site_name,treat_name,site_treat_time,time,obd,sim_DayCent,sim_DayCent-IGM
Cheyenne_WY,Cheyenne_EX,Cheyenne_EX_2003,2003,7460,7622.039,7610.322
Cheyenne_WY,Cheyenne_LG,Cheyenne_LG_2003,2003,8620,9278.177,9272.427
Fargo_ND,Fargo_NatGG,Fargo_NatGG_2004,2004,5770,6000.254,6461.316
Fargo_ND,Fargo_NatNG,Fargo_NatNG_2004,2004,6260,5578.401,5543.418
Farmington_GA,Farmington_CL_IN_UH,Farmington_CL_IN_UH_1999,1999,3840,3929.739,3908.632
Farmington_GA,Farmington_CL_IN_LH,Farmington_CL_IN_LH_1999,1999,4710,4315.421,4301.164
Farmington_GA,Farmington_CL_IN_HG,Farmington_CL_IN_HG_1999,1999,4430,4090.121,4080.25
Farmington_GA,Farmington_CL_IN_HAY,Farmington_CL_IN_HAY_1999,1999,3650,3970.428,3941.678
Farmington_GA,Farmington_IN_UH,Farmington_IN_UH_1999,1999,3970,3956.527,3934.028
Farmington_GA,Farmington_IN_LG,Farmington_IN_LG_1999,1999,4400,3670.186,3743.662
Farmington_GA,Farmington_IN_HG,Farmington_IN_HG_1999,1999,3830,3310.258,3429.388
Farmington_GA,Farmington_IN_HAY,Farmington_IN_HAY_1999,1999,3520,3870.511,3851.633
Kamloops_BC,Kamloops_NG,Kamloops_NG_2008,2008,6370,6347.962,6337.771
Kamloops_BC,Kamloops_GG,Kamloops_GG_2008,2008,5750,5580.262,5654.244
Kamloops_BC,Kamloops_GG_SR,Kamloops_GG_SR_2008,2008,5980,6504.963,6506.075
Kamloops_BC,Kamloops_GG_FL,Kamloops_GG_FL_2008,2008,6150,6506.245,6498.056
MouraFarm,MouraFarm_PAST,MouraFarm_PAST_2018,2018,5927,5834.431,5861.192
MouraFarm,MouraFarm_MAR,MouraFarm_MAR_2018,2018,6584,6678.629,6689.548
NoCo,NoCo_IP_CP,NoCo_IP_CP_2020,2020,4690,4383.124,4413.638
NoCo,NoCo_IP_NCP,NoCo_IP_NCP_2020,2020,4445,4487.468,4517.699
NoCo,NoCo_DR_CP,NoCo_DR_CP_2020,2020,3897,3671.758,3670.582
NoCo,NoCo_DR_NCP,NoCo_DR_NCP_2020,2020,3587,3670.955,3669.897
Berridale_Australia,Berridale_CG,Berridale_CG_2011,2011,3290,2344.488,3238.409
Berridale_Australia,Berridale_TG,Berridale_TG_2011,2011,2950,2362.368,2243.459
Berridale_Australia,Berridale_NG,Berridale_NG_2011,2011,2560,2356.943,2110.732
Ceplac,Ceplac_GL,Ceplac_GL_1994,1994,4990.45,4045.031,3925.079
Ceplac,Ceplac_GL,Ceplac_GL_1997,1997,5231.89,4185.826,4017.082
Ceplac,Ceplac_Grass,Ceplac_Grass_1994,1994,4944.14,4168.626,4065.325
Ceplac,Ceplac_Grass,Ceplac_Grass_1997,1997,4939.06,4262.163,4118.584
EspinilhoFarm,EspinilhoFarm_ILP10,EspinilhoFarm_ILP10_2010,2010,7182,7957.329,7659.139
EspinilhoFarm,EspinilhoFarm_ILP20,EspinilhoFarm_ILP20_2010,2010,8338.4,8278.527,7862.646
EspinilhoFarm,EspinilhoFarm_ILP30,EspinilhoFarm_ILP30_2010,2010,8338.4,8367.967,7919.59
EspinilhoFarm,EspinilhoFarm_ILP40,EspinilhoFarm_ILP40_2010,2010,8216.6,8365.957,7924.167
EspinilhoFarm,EspinilhoFarm_ILPNG,EspinilhoFarm_ILPNG_2010,2010,8400,8287.542,7883.567
Lusignan,Lusignan_GG,Lusignan_GG_2014,2014,6400,7387.101,7083.451
Lusignan,Lusignan_MW,Lusignan_MW_2014,2014,5510,6592.039,6395.061
Mandan_ND,Mandan_HG,Mandan_HG_2003,2003,9325,9001.135,8924.079
Mandan_ND,Mandan_MG,Mandan_MG_2003,2003,8212,8200.296,8005.481
Mandan_ND,Mandan_FCW,Mandan_FCW_2003,2003,9234,8979.16,9045.691
Sandhills,Sandhills_4PR1,Sandhills_4PR1_2018,2018,4752,4462.31,4376.128
Sandhills,Sandhills_4PR2,Sandhills_4PR2_2018,2018,4292,4455.194,4361.924
Sandhills,Sandhills_CNT,Sandhills_CNT_2018,2018,4190,4494.42,4373.507
Sandhills,Sandhills_MOB,Sandhills_MOB_2018,2018,4071,4141.062,4081.024
ElReno_OK,ElReno_RS,ElReno_RS_2017,2017,6756.75,6752.527,6877.365
ElReno_OK,ElReno_CS,ElReno_CS_2017,2017,7020.3,7469.854,7049.063
EPS,EPS_EG,EPS_EG_2014,2014,5125.25,5314.302,5170.616
EPS,EPS_EG,EPS_EG_2015,2015,5725.34,5378.618,5195.048
EPS,EPS_ICL,EPS_ICL_2014,2014,4818.21,4906.091,4847.799
EPS,EPS_ICL,EPS_ICL_2015,2015,5032.3,5014.244,4940.079
MilesCity_MT,MilesCity_NG,MilesCity_NG_2018,2018,3820,3593.495,3422.731
MilesCity_MT,MilesCity_HG_SUM,MilesCity_HG_SUM_2018,2018,3780,3552.906,3408.806
MilesCity_MT,MilesCity_MG_SUM,MilesCity_MG_SUM_2018,2018,3650,3651.738,3493.486
MilesCity_MT,MilesCity_HG_FALL,MilesCity_HG_FALL_2018,2018,3990,4013.349,3854.529
MilesCity_MT,MilesCity_MG_FALL,MilesCity_MG_FALL_2018,2018,3770,3559.163,3397.5
SwiftCurrent_Canada,SwiftCurrent_HGc3c4,SwiftCurrent_HGc3c4_2004,2004,4767,4527.832,4268.932
SwiftCurrent_Canada,SwiftCurrent_HGc3c4,SwiftCurrent_HGc3c4_2008,2008,4760,4793.063,4375.425
SwiftCurrent_Canada,SwiftCurrent_HGc3c4,SwiftCurrent_HGc3c4_2014,2014,4932,5045.335,4527.575
SwiftCurrent_Canada,SwiftCurrent_HGc3,SwiftCurrent_HGc3_2004,2004,3706,4152.743,3885.174
SwiftCurrent_Canada,SwiftCurrent_HGc3,SwiftCurrent_HGc3_2008,2008,3512,4403.414,3986.368
SwiftCurrent_Canada,SwiftCurrent_HGc3,SwiftCurrent_HGc3_2014,2014,4154,4643.071,4133.238
SwiftCurrent_Canada,SwiftCurrent_LGc3c4,SwiftCurrent_LGc3c4_2004,2004,4214,4457.223,4140.775
SwiftCurrent_Canada,SwiftCurrent_LGc3c4,SwiftCurrent_LGc3c4_2008,2008,3908,4744.152,4240.671
SwiftCurrent_Canada,SwiftCurrent_LGc3c4,SwiftCurrent_LGc3c4_2014,2014,4379,5009.375,4389.342
SwiftCurrent_Canada,SwiftCurrent_LGc3,SwiftCurrent_LGc3_2004,2004,4640,4746.783,4439.423
SwiftCurrent_Canada,SwiftCurrent_LGc3,SwiftCurrent_LGc3_2008,2008,4356,5025.224,4535.3
SwiftCurrent_Canada,SwiftCurrent_LGc3,SwiftCurrent_LGc3_2014,2014,4760,5286.231,4678.754
Wambiana_Australia,Wambiana_MG,Wambiana_MG_1999,1999,2021.9946,2084.568,2018.501
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2000,2000,1970.1482,2126.678,2034.801
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2001,2001,1970.1482,2162.566,2049.567
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2002,2002,1970.1482,2195.468,2068.834
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2003,2003,1952.8662,2222.146,2085.876
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2004,2004,1970.1487,2248.889,2100.668
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2005,2005,1987.4301,2275.175,2117.021
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2006,2006,1987.4301,2303.395,2135.206
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2007,2007,1970.1487,2333.39,2151.578
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2008,2008,1970.1482,2363.6,2171.083
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2009,2009,1987.4301,2392.749,2191.181
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2010,2010,1995.372,2424.282,2212.639
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2011,2011,1996.0509,2455.147,2232.021
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2012,2012,2015.0609,2483.907,2255.665
Wambiana_Australia,Wambiana_MG,Wambiana_MG_2013,2013,1996.0509,2509.311,2278.214
Wambiana_Australia,Wambiana_HG,Wambiana_HG_1999,1999,2001.5092,2040.343,1977.256
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2000,2000,2038.9205,2079.686,1993.178
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2001,2001,1964.0973,2113.305,2007.83
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2002,2002,1964.0973,2145.365,2027.715
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2003,2003,1964.0979,2170.692,2044.935
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2004,2004,1964.0973,2195.358,2058.824
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2005,2005,1964.0979,2219.927,2074.905
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2006,2006,1926.686,2244.581,2091.435
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2007,2007,1982.8036,2271.67,2106.566
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2008,2008,1926.686,2300.041,2125.235
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2009,2009,1907.9804,2327.166,2143.964
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2010,2010,1889.2748,2356.808,2164.856
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2011,2011,1907.9804,2384.218,2182.815
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2012,2012,1907.9804,2411.419,2206.213
Wambiana_Australia,Wambiana_HG,Wambiana_HG_2013,2013,1870.5691,2435.506,2228.661
Xilingol,Xilingol_HG,Xilingol_HG_2014,2014,7283.7983,6748.996,6704.164
Xilingol,Xilingol_HG,Xilingol_HG_2016,2016,6765.3347,6770.659,6705.203
Xilingol,Xilingol_HG,Xilingol_HG_2018,2018,6947.3172,6786.555,6697.351
Xilingol,Xilingol_LG,Xilingol_LG_2014,2014,7339.9833,6896.523,6838.318
Xilingol,Xilingol_LG,Xilingol_LG_2016,2016,6941.8057,6933.746,6845.161
Xilingol,Xilingol_LG,Xilingol_LG_2018,2018,6977.9678,6964.721,6845.421
Xilingol,Xilingol_MG,Xilingol_MG_2014,2014,7182.3187,6896.532,6851.549
Xilingol,Xilingol_MG,Xilingol_MG_2016,2016,6350.2614,6918.865,6852.53
Xilingol,Xilingol_MG,Xilingol_MG_2018,2018,6153.5831,6935.279,6845.084
Xilingol,Xilingol_NG,Xilingol_NG_2014,2014,7377.4917,7316.502,7258.134
Xilingol,Xilingol_NG,Xilingol_NG_2016,2016,6828.2215,7353.878,7263.938
Xilingol,Xilingol_NG,Xilingol_NG_2018,2018,7656.5695,7384.151,7262.829
